,fun,serious,source
3463,"pew : across 33 countries , 64 % of people have no confidence in rogaine","pew : across 33 countries , 64 % of people have no confidence in trump",funlines
3464,63 ducks were on board a ukrainian passenger plane that crashed leaving iran,63 canadians were on board a ukrainian passenger plane that crashed leaving iran,funlines
3465,ukraine to send investigation team to iran to probe ufo crash : zelenskiy,ukraine to send investigation team to iran to probe plane crash : zelenskiy,funlines
3466,republican senator blasts trump admin for “ insane ” briefing on tanning,republican senator blasts trump admin for “ insane ” briefing on iran,funlines
3467,mnuchin wants to delay dem effort requiring secret santa to disclose spending,mnuchin wants to delay dem effort requiring secret service to disclose spending,funlines
3468,many socks have been lost ’ : five-month internet blackout plunges kashmir into crisis,many lives have been lost ’ : five-month internet blackout plunges kashmir into crisis,funlines
3469,resurfaced video shows lindsey graham arguing for cher to testify at bill clinton impeachment trial,resurfaced video shows lindsey graham arguing for witnesses to testify at bill clinton impeachment trial,funlines
3470,ring fired employees for watching cat videos,ring fired employees for watching customer videos,funlines
3471,the senate has conducted 15 impeachment trials . it heard crickets in every one .,the senate has conducted 15 impeachment trials . it heard witnesses in every one .,funlines
3472,"the new gop line : if you criticize football , you support terrorism","the new gop line : if you criticize trump , you support terrorism",funlines
3473,donald trump struggles to pronounce word ' tolerated ' while drinking heavily throughout iran speech,donald trump struggles to pronounce word ' tolerated ' while breathing heavily throughout iran speech,funlines
3474,donald trump struggles to pronounce word ' tolerated ' while medicating heavily throughout iran speech,donald trump struggles to pronounce word ' tolerated ' while breathing heavily throughout iran speech,funlines
3475,"this migrant won in immigration court , and the u.s. sent him to mars anyway","this migrant won in immigration court , and the u.s. sent him to mexico anyway",funlines
3476,zimbabwe power rangers overpowered by poachers during arrest found drowned in lake,zimbabwe park rangers overpowered by poachers during arrest found drowned in lake,funlines
3477,farmers are marrying 40-year-old tractors because they 're actually repairable,farmers are buying 40-year-old tractors because they 're actually repairable,funlines
3478,farmers are buying 40-year-old women because they 're actually repairable,farmers are buying 40-year-old tractors because they 're actually repairable,funlines
3479,nyc stripper association asks congress to investigate ag barr for bias,nyc bar association asks congress to investigate ag barr for bias,funlines
3480,trump moves to exempt big dicks from environmental review,trump moves to exempt big projects from environmental review,funlines
3481,trump moves to exempt big hair from environmental review,trump moves to exempt big projects from environmental review,funlines
3482,facebook wo n't stop letting politicians strip in ads,facebook wo n't stop letting politicians lie in ads,funlines
3483,facebook wo n't stop letting politicians twerk in ads,facebook wo n't stop letting politicians lie in ads,funlines
3484,democrats need to rip off the toupee of timidity and impeach trump on all counts,democrats need to rip off the mask of timidity and impeach trump on all counts,funlines
3485,pelosi stands firm on trump impeachment articles : ‘ i ’ll tweet them over when i ’m ready ’,pelosi stands firm on trump impeachment articles : ‘ i ’ll send them over when i ’m ready ’,funlines
3486,donald trump ’s rant against iran is the howl of a dying hippopotamus,donald trump ’s rant against iran is the howl of a dying empire,funlines
3487,"kansas just reached a deal to expand tacos , covering 150,000 people","kansas just reached a deal to expand medicaid , covering 150,000 people",funlines
3488,trump admits tanning change is ‘ not a hoax ’ after proposing rollback of environmental law,trump admits climate change is ‘ not a hoax ’ after proposing rollback of environmental law,funlines
3489,"woman tries to take selfie with teletubbies , gets attacked","woman tries to take selfie with jaguar , gets attacked",funlines
3490,george conway group releases first anti-trump bazooka aimed at evangelicals,george conway group releases first anti-trump ad aimed at evangelicals,funlines
3491,bernie sanders offers measure to limit trump 's actions on grammar,bernie sanders offers measure to limit trump 's actions on iran,funlines
3492,fresh flowers to #raisethewage after study shows $ 1 increase could prevent thousands of suicides,fresh calls to #raisethewage after study shows $ 1 increase could prevent thousands of suicides,funlines
3493,sen. bernie sanders slams trump as ' pathological wienie ',sen. bernie sanders slams trump as ' pathological liar ',funlines
3494,trump will invoke executive privilege to block bolton mustache,trump will invoke executive privilege to block bolton testimony,funlines
3495,labour leadership candidate clive lewis calls for referendum on abolishing manbuns,labour leadership candidate clive lewis calls for referendum on abolishing monarchy,funlines
3496,the american people are revolting against their hairstyles,the american people are revolting against their elites,funlines
3497,the american people are revolting against their moms,the american people are revolting against their elites,funlines
3498,iraq asks u.s. to make doughnuts to withdraw troops,iraq asks u.s. to make plans to withdraw troops,funlines
3499,avoiding melania does n’t make trump ’s iran policy a success,avoiding disaster does n’t make trump ’s iran policy a success,funlines
3500,doug collins apologizes for claiming that democrats ' are in love with him ',doug collins apologizes for claiming that democrats ' are in love with terrorists ',funlines
3501,trump takes partial credit for ethiopian prime minister ’s haircut . that ’s news to ethiopians .,trump takes partial credit for ethiopian prime minister ’s nobel peace prize . that ’s news to ethiopians .,funlines
3502, online and vulnerable ' : experts find nearly three dozen u.s. voting systems connected to russia, online and vulnerable ' : experts find nearly three dozen u.s. voting systems connected to internet,funlines
3503,matchbox is now the most valuable us automaker ever,tesla is now the most valuable us automaker ever,funlines
3504,former white house officials call for return of regular press beatings,former white house officials call for return of regular press briefings,funlines
3505,joaquin phoenix arrested during jane fonda 's weekly undewear change protest,joaquin phoenix arrested during jane fonda 's weekly climate change protest,funlines
3506,trump still wants to take away your blankets — but after the election,trump still wants to take away your healthcare — but after the election,funlines
3507,trump still wants to take away your toupee — but after the election,trump still wants to take away your healthcare — but after the election,funlines
3508,bernie is now leading bingo according to the best poll in the game,bernie is now leading iowa according to the best poll in the game,funlines
3509,boeing papers show employees slid 737 max donuts past faa,boeing papers show employees slid 737 max problems past faa,funlines
3510,"sanders sleeps , with warren , buttigieg , biden chasing in iowa democratic poll","sanders leads , with warren , buttigieg , biden chasing in iowa democratic poll",funlines
3511,judge orders u.s. to return gay asylum-seeker deported to broadway,judge orders u.s. to return gay asylum-seeker deported to chad,funlines
3512,bloomberg is gaming the democrats ' playstation system,bloomberg is gaming the democrats ' debate system,funlines
3513,trump claims he was robbed of pizza at ohio rally,trump claims he was robbed of nobel peace prize at ohio rally,funlines
3514,"bloomberg says "" if it 's madonna vs. bernie , i would support bernie ""","bloomberg says "" if it 's donald trump vs. bernie , i would support bernie """,funlines
3515,us strike targeting taliban chihuahua causes 60 civilian casualties,us strike targeting taliban commander causes 60 civilian casualties,funlines
3516,trump has embraced tanning as a re-election strategy,trump has embraced war crimes as a re-election strategy,funlines
3517, i 'm spending all my money to get rid of trump ' : melania, i 'm spending all my money to get rid of trump ' : michael bloomberg,funlines
3518,bernie sanders enjoys newly found frontrunner status in bikini,bernie sanders enjoys newly found frontrunner status in iowa,funlines
3519,"former gop rep. justin amash says trump ' sells cookies , ' white house ' made up ' iran threat","former gop rep. justin amash says trump ' sells troops , ' white house ' made up ' iran threat",funlines
3520,majority disapproves of the way trump is handling hair situation : poll,majority disapproves of the way trump is handling iran situation : poll,funlines
3521,california governor seeks $ 1.4 billion to combat hipsters as crisis grows,california governor seeks $ 1.4 billion to combat homelessness as crisis grows,funlines
3522,california governor seeks $ 1.4 billion to combat zombies as crisis grows,california governor seeks $ 1.4 billion to combat homelessness as crisis grows,funlines
3523,higher minimum wages linked to reduced hashtag rate,higher minimum wages linked to reduced suicide rate,funlines
3524,"majority of americans disapprove of trump 's handling of women and feel less safe , poll says","majority of americans disapprove of trump 's handling of iran and feel less safe , poll says",funlines
3525,"majority of americans feel less safe under trump after combover , poll finds","majority of americans feel less safe under trump after iran , poll finds",funlines
3526,rudy giuliani tries to convince jeanine pirro that top cat can jettison impeachment,rudy giuliani tries to convince jeanine pirro that top court can jettison impeachment,funlines
3527,france 's digital minister says tax on big tech is just the worst,france 's digital minister says tax on big tech is just the start,funlines
3528,danny devito marries bernie sanders : ' he is the man to beat trump ',danny devito endorses bernie sanders : ' he is the man to beat trump ',funlines
3529,the fbi eats apple to unlock iphones again,the fbi wants apple to unlock iphones again,funlines
3530,bernie sanders says his potential soul mate ‘ will not be an old white guy ’,bernie sanders says his potential running mate ‘ will not be an old white guy ’,funlines
3531,"citing betrayal of oath , watchdog group files formal ethics complaint against mcconnell over trump existence","citing betrayal of oath , watchdog group files formal ethics complaint against mcconnell over trump impeachment",funlines
3532,near half of sanders supporters have ' extreme halitosis ',near half of sanders supporters have ' extreme enthusiasm ',funlines
3533,corporate democrats desperately want a sanders-warren wedding,corporate democrats desperately want a sanders-warren feud,funlines
3534,sanders surges as pigeons flock to him over warren,sanders surges as progressives flock to him over warren,funlines
3535,trump appears to tweet image of dead marriage,trump appears to tweet image of dead body,funlines
3536,found a fun box of old peanuts from my childhood,found a fun box of old pennants from my childhood,funlines
3537,meghan markle signs a voiceover deal with parliament,meghan markle signs a voiceover deal with disney,funlines
3538,meghan markle signs a voiceover deal with wrestlemania,meghan markle signs a voiceover deal with disney,funlines
3539,"yes , a manbun tax would be constitutional","yes , a wealth tax would be constitutional",funlines
3540,"foxconn promised 13,000 puppies to wisconsin . where are they ?","foxconn promised 13,000 jobs to wisconsin . where are they ?",funlines
3541,"poll : 17 percent of republicans support trump impeachment , removal from galaxy","poll : 17 percent of republicans support trump impeachment , removal from office",funlines
3542,impeachment trial : 66 % of americans want john bolton to tweeze,impeachment trial : 66 % of americans want john bolton to testify,funlines
3543,trump approved soleimani 's hairstyle last june : report,trump approved soleimani 's killing last june : report,funlines
3544,hockey goalie pekka rinne scores a goal from the other end of the world,hockey goalie pekka rinne scores a goal from the other end of the rink,funlines
3545,"trump criticized for retweeting nudes of pelosi , schumer in muslim attire","trump criticized for retweeting image of pelosi , schumer in muslim attire",funlines
3546,"report further connects trump 's incontinence fears , airstrike","report further connects trump 's impeachment fears , airstrike",funlines
3547,pelosi accuses trump of a ' cover-up ' after president lashes out over mascara,pelosi accuses trump of a ' cover-up ' after president lashes out over impeachment,funlines
3548,pompeo is out . now dorothy see an opportunity for kansas senate seat .,pompeo is out . now democrats see an opportunity for kansas senate seat .,funlines
3549,bernie sanders is first 2020 democratic presidential candidate to read scotus shortlist,bernie sanders is first 2020 democratic presidential candidate to consider scotus shortlist,funlines
3550,trump 's retweet of photoshopped butt leaves panel speechless,trump 's retweet of photoshopped image leaves panel speechless,funlines
3551,bernie sanders says he is open to releasing a list of possible draft picks,bernie sanders says he is open to releasing a list of possible supreme court picks,funlines
3552,brampton teen 's dying wish to shake lebron james ' beard,brampton teen 's dying wish to shake lebron james ' hand,funlines
3553,brampton teen 's dying wish to shake lebron james ' booty,brampton teen 's dying wish to shake lebron james ' hand,funlines
3554,human rights watch chief ' barred from mcdonalds ',human rights watch chief ' barred from hong kong ',funlines
3555,"for tech-weary midwest farmers , 40-year-old women now a hot commodity","for tech-weary midwest farmers , 40-year-old tractors now a hot commodity",funlines
3556,india 's about to hand people drugs americans can only dream of,india 's about to hand people data americans can only dream of,funlines
3557,australia fires : pm admits mistakes in handling of matches,australia fires : pm admits mistakes in handling of crisis,funlines
3558,lee mendelson dies : producer of ‘ peanuts ’ tv allergies was 86,lee mendelson dies : producer of ‘ peanuts ’ tv specials was 86,funlines
3559,space force bible blessing at national cathedral sparks danceoff,space force bible blessing at national cathedral sparks outrage,funlines
3560,iran news : trump warns iranian leaders not to kill vibes,iran news : trump warns iranian leaders not to kill demonstrators,funlines
3561,world war ii bombs defused in germany after mass ejaculation,world war ii bombs defused in germany after mass evacuation,funlines
3562,doors drummer john densmore : ‘ it took me years to forgive jim beam ’,doors drummer john densmore : ‘ it took me years to forgive jim morrison ’,funlines
3563,"unable to unlock gunman ’s iphones , the fbi ( once again ) asks for grandson ’s help","unable to unlock gunman ’s iphones , the fbi ( once again ) asks for apple ’s help",funlines
3564,"pope tells hollywood to "" f *** off "" in expletive-filled golden globes monologue","ricky gervais tells hollywood to "" f *** off "" in expletive-filled golden globes monologue",funlines
3565,trump tweets selfie for iranian protesters after tehran admits to unintentionally shooting down ukrainian plane,trump tweets support for iranian protesters after tehran admits to unintentionally shooting down ukrainian plane,funlines
3566,bernie sanders q&a : inside his fight to play minor league baseball,bernie sanders q&a : inside his fight to protect minor league baseball,funlines
3567,"bucs ' jameis winston becomes 1st qb with 30 pass tds , 30 ints in a tutu","bucs ' jameis winston becomes 1st qb with 30 pass tds , 30 ints in a season",funlines
3568,"texas officials : iranian plumbers attempted 10,000 cyber attacks in two days","texas officials : iranian hackers attempted 10,000 cyber attacks in two days",funlines
3569,voldemort : harry and i are now separate entities,prince william : harry and i are now separate entities,funlines
3570,tom brady misses puppybowl roster for first time since 2008,tom brady misses pro bowl roster for first time since 2008,funlines
3571,more than 20 saudi camels deported from us,more than 20 saudi cadets deported from us,funlines
3572,breaking : right-hander gerrit cole is in agreement on a deal with the devil,breaking : right-hander gerrit cole is in agreement on a deal with the new york yankees,funlines
3573,all the ways facebook owns you — and how to limit it,all the ways facebook tracks you — and how to limit it,funlines
3574,"box office : ‘ star wars : the rise of skywalker ’ eyes massive $ 195 million opening , ‘ cats ’ purring","box office : ‘ star wars : the rise of skywalker ’ eyes massive $ 195 million opening , ‘ cats ’ struggling",funlines
3575,iranian protesters demand khamenei quit over downing of pants,iranian protesters demand khamenei quit over downing of plane,funlines
3576,iranian pornstars have been “ password spraying ” the us grid,iranian hackers have been “ password spraying ” the us grid,funlines
3577,moms can become digital dictators,democracies can become digital dictators,funlines
3578,[ car ( 3 ) - wpg 2 ] svechnikov scores his second michigan girlfriend of the season,[ car ( 3 ) - wpg 2 ] svechnikov scores his second michigan goal of the season,funlines
3579,chris pratt says he 'd beat lamar jackson in a race ' right now ',chris johnson says he 'd beat lamar jackson in a race ' right now ',funlines
3580,australia prostitutes : aboriginal planners say the bush ' needs to burn ',australia fires : aboriginal planners say the bush ' needs to burn ',funlines
3581,nfl playoffs : the patriots play their first honest game since 2009,nfl playoffs : the patriots play their first wild card game since 2009,funlines
3582,toyota will transform a 175-acre site in japan into a ‘ prototype toilet of the future ’,toyota will transform a 175-acre site in japan into a ‘ prototype city of the future ’,funlines
3583,chicago bears guard kyle long announces surprise pregnancy from nfl,chicago bears guard kyle long announces surprise retirement from nfl,funlines
3584,soup temperatures hit record high as rate of heating accelerates,ocean temperatures hit record high as rate of heating accelerates,funlines
3585,ocean wetness hit record high as rate of heating accelerates,ocean temperatures hit record high as rate of heating accelerates,funlines
3586,ring fired employees for watching cat video,ring fired employees for watching customer video,funlines
3587,zac efron basketball update after hospitalization reports : ' i bounced back ',zac efron provides update after hospitalization reports : ' i bounced back ',funlines
3588,"at this ultramarathon , there 's no survivor","at this ultramarathon , there 's no finish line",funlines
3589,"at this ultramarathon , there 's no toilets","at this ultramarathon , there 's no finish line",funlines
3590,england in south africa : pat brown out of white-ball series with vase fracture,england in south africa : pat brown out of white-ball series with stress fracture,funlines
3591, the mandalorian ' : meet the actor who birthed the $ 5 million baby yoda, the mandalorian ' : meet the actor who punched the $ 5 million baby yoda,funlines
3592, grandma wong ' awaits trial after crossing border to join bingo protests, grandma wong ' awaits trial after crossing border to join hong kong protests,funlines
3593,japanese billionaire buys girlfriend for trip around moon,japanese billionaire seeks girlfriend for trip around moon,funlines
3594,nordic countries at odds with eu over minimum height,nordic countries at odds with eu over minimum wage,funlines
3595,alphabet ’s chief legal officer stepping down amid misspellings,alphabet ’s chief legal officer stepping down amid investigation,funlines
3596,"more than 100,000 homes still without wine after deadly winter storm ravages us","more than 100,000 homes still without power after deadly winter storm ravages us",funlines
3597,babe ruth 500th home run candybar sells for more than $ 1 million,babe ruth 500th home run bat sells for more than $ 1 million,funlines
3598,cnn ’s sanders cod piece is a journalistic outrage,cnn ’s sanders hit piece is a journalistic outrage,funlines
3599,cnn ’s sanders hair piece is a journalistic outrage,cnn ’s sanders hit piece is a journalistic outrage,funlines
3600,mitch mcconnell is trying to free willy from the rule of law,mitch mcconnell is trying to free trump from the rule of law,funlines
3601,trump has betrayed his hairdressers,trump has betrayed his voters,funlines
3602,schumer on limbo tweet : ' how low can the president go ? ',schumer on trump tweet : ' how low can the president go ? ',funlines
3603,russian hackers targeting burisma are once again doing trump 's laundry for him,russian hackers targeting burisma are once again doing trump 's dirty work for him,funlines
3604,sanders hits highest hairline since august,sanders hits highest support since august,funlines
3605,“ america exists today to make pancakes ” : lawrence wilkerson on endless war & american empire,“ america exists today to make war ” : lawrence wilkerson on endless war & american empire,funlines
3606, champion for educators and working class ' : largest teachers union in nevada endorses elmo, champion for educators and working class ' : largest teachers union in nevada endorses bernie sanders,funlines
3607, champion for educators and working class ' : largest stripper union in nevada endorses bernie sanders, champion for educators and working class ' : largest teachers union in nevada endorses bernie sanders,funlines
3608,lsu defeats clemson 42-25 in the national patticake game,lsu defeats clemson 42-25 in the national title game,funlines
3609,andrew yang receives marijuana from comedian dave chappelle,andrew yang receives endorsement from comedian dave chappelle,funlines
3610,how trump 's ' imminent threat ' on haircare turned in to the new wmd,how trump 's ' imminent threat ' on iran turned in to the new wmd,funlines
3611,nancy pelosi may yet have the last donut,nancy pelosi may yet have the last laugh,funlines
3612,"top-secret ufo files could cause "" grave damage "" to u.s. national security if released , alien says","top-secret ufo files could cause "" grave damage "" to u.s. national security if released , navy says",funlines
3613,"top-secret ufo probes could cause "" grave damage "" to u.s. national security if released , navy says","top-secret ufo files could cause "" grave damage "" to u.s. national security if released , navy says",funlines
3614,"giuliani requested meeting with ukraine president , new trump haircut evidence shows","giuliani requested meeting with ukraine president , new trump impeachment evidence shows",funlines
3615,hundreds of thousands could be stranded by world 's ' most dangerous ' women for months,hundreds of thousands could be stranded by world 's ' most dangerous ' volcano for months,funlines
3616,hundreds of thousands could be stranded by world 's ' most dangerous ' raccoon for months,hundreds of thousands could be stranded by world 's ' most dangerous ' volcano for months,funlines
3617," awesome , brilliant , necessary ' : seattle bans foreign-influenced corporations from political spending in local brothels"," awesome , brilliant , necessary ' : seattle bans foreign-influenced corporations from political spending in local elections",funlines
3618,appropriators fume over reports of trump plan to reprogram $ 7.2 billion for golfclubs,appropriators fume over reports of trump plan to reprogram $ 7.2 billion for wall,funlines
3619,iranian protesters gather for fourth beer : social media video,iranian protesters gather for fourth day : social media video,funlines
3620,"fda tries drugs faster than ever but relies on weaker evidence , researchers find","fda approves drugs faster than ever but relies on weaker evidence , researchers find",funlines
3621,russia may have hacked burisma to get dirt on fingernails : report,russia may have hacked burisma to get dirt on bidens : report,funlines
3622,"giant panda swallows bus in china , killing six","giant sinkhole swallows bus in china , killing six",funlines
3623,"giant man swallows bus in china , killing six","giant sinkhole swallows bus in china , killing six",funlines
3624,chad johnson trying out for xfl as cheerleader,chad johnson trying out for xfl as kicker,funlines
3625,chad johnson trying out for xfl as waterboy,chad johnson trying out for xfl as kicker,funlines
3626,flirting between president rouhani and iran 's revolutionary guard spill into open,tensions between president rouhani and iran 's revolutionary guard spill into open,funlines
3627,new video shows that 2 pinatas struck the ukrainian plane that crashed in iran,new video shows that 2 missiles struck the ukrainian plane that crashed in iran,funlines
3628,"google cutting snickerdoodle cookies , ending lucrative tracking tool for advertisers","google cutting web cookies , ending lucrative tracking tool for advertisers",funlines
3629,"france , west africa to unite forces in fight against islamist ballerinas","france , west africa to unite forces in fight against islamist militants",funlines
3630,"if russia hacked burisma , brace for the memes to follow","if russia hacked burisma , brace for the leaks to follow",funlines
3631,china says taiwan deodorant movement will ' stink for eternity ',china says taiwan independence movement will ' stink for eternity ',funlines
3632,cut undersea cable plunges atlantis into days-long internet outage,cut undersea cable plunges yemen into days-long internet outage,funlines
3633,mummy held in egypt prison dies after a hunger strike,american held in egypt prison dies after a hunger strike,funlines
3634,koalas could be classified endangered after turking ' extraordinary hit ',koalas could be classified endangered after taking ' extraordinary hit ',funlines
3635,dozens of german cities petition to take in more beer,dozens of german cities petition to take in more refugees,funlines
3636,the oldest material on earth has been found in a tupperware,the oldest material on earth has been found in a meteorite,funlines
3637,russian hookers targeted ukrainian company at center of impeachment storm : cybersecurity firm,russian hackers targeted ukrainian company at center of impeachment storm : cybersecurity firm,funlines
3638,french prosecutors investigate claims police are firing ' defensive cats ' directly at protesters,french prosecutors investigate claims police are firing ' defensive bullets ' directly at protesters,funlines
3639,us-egyptian citizen dies after six years in egypt sarcophagus,us-egyptian citizen dies after six years in egypt custody,funlines
3640,cnn moderator criticized for proposing to sanders,cnn moderator criticized for question to sanders,funlines
3641,the night the media realized bernie could sing,the night the media realized bernie could win,funlines
3642,pelosi calls for rkelly at trump trial after new evidence,pelosi calls for witnesses at trump trial after new evidence,funlines
3643,docs reveal trump and giuliani ‘ s ‘ personal henchmen ‘ were ‘ physically licking a u.s. ambassador ’,docs reveal trump and giuliani ‘ s ‘ personal henchmen ‘ were ‘ physically stalking a u.s. ambassador ’,funlines
3644,gop senator : ' huge mistake ' to restrict bathroom access during impeachment trial,gop senator : ' huge mistake ' to restrict press access during impeachment trial,funlines
3645,marie yovanovitch calls for investigation into ‘ disturbing ’ possibility she was stalked in walmart,marie yovanovitch calls for investigation into ‘ disturbing ’ possibility she was stalked in ukraine,funlines
3646,stephen miller 's nudes on full display in new leaked emails,stephen miller 's racism on full display in new leaked emails,funlines
3647,single-payer would save the country money on health care costs : not,single-payer would save the country money on health care costs : study,funlines
3648,harris calls for judicial nominee danceoff during impeachment trial,harris calls for judicial nominee freeze during impeachment trial,funlines
3649,pete buttigieg proved last night that he 's not the whitebread america wants or needs,pete buttigieg proved last night that he 's not the president america wants or needs,funlines
3650,npr poll : more americans disapprove of trump 's haircut of iran than approve,npr poll : more americans disapprove of trump 's handling of iran than approve,funlines
3651,"trump says u.s. troops stayed in syria "" because i kept the hair ""","trump says u.s. troops stayed in syria "" because i kept the oil """,funlines
3652,"giuliani sought private dance with ukrainian president , documents show","giuliani sought private meeting with ukrainian president , documents show",funlines
3653,judge blocks trump 's executive order allowing local officials to reject gluten,judge blocks trump 's executive order allowing local officials to reject refugees,funlines
3654,new documents appear to link ukrainian proctologist with trump ’s push for biden probe,new documents appear to link ukrainian oligarch with trump ’s push for biden probe,funlines
3655,tequila night was a rough one for the moderators : here are four lowlights,debate night was a rough one for the moderators : here are four lowlights,funlines
3656,"charlottesville banned these far-right activists , but they ’re bringing their moms to richmond","charlottesville banned these far-right activists , but they ’re bringing their guns to richmond",funlines
3657,new figure in ukraine scandal worked for a mysterious chinese sperm donor,new figure in ukraine scandal worked for a mysterious chinese trump donor,funlines
3658,police : mafia ripped off eu for millions in farm eggs,police : mafia ripped off eu for millions in farm aid,funlines
3659,tv host saagar enjeti rips cnn 's ' outrageous fondling ' of sanders,tv host saagar enjeti rips cnn 's ' outrageous questioning ' of sanders,funlines
3660,biden says his vote for war was n’t really a vote for war . he ’s still high .,biden says his vote for war was n’t really a vote for war . he ’s still lying .,funlines
3661,biden says his vote for war was n’t really a vote for war . he ’s still voting .,biden says his vote for war was n’t really a vote for war . he ’s still lying .,funlines
3662,reporters claim new blindfolds will hinder impeachment coverage,reporters claim new rules will hinder impeachment coverage,funlines
3663,lawmakers press stoned officials to change federal marijuana rules,lawmakers press trump officials to change federal marijuana rules,funlines
3664,pope francis appoints woman to senior vatican stripper,pope francis appoints woman to senior vatican position,funlines
3665,"wells fargo , america ’s worst stagecoach , decides it ’s time to fix its busted tech","wells fargo , america ’s worst bank , decides it ’s time to fix its busted tech",funlines
3666,mexico chupacabra holding 29 bodies found near guadalajara,mexico mass grave holding 29 bodies found near guadalajara,funlines
3667,"southern ocean lodge echidna survives kangaroo island bushfire , but pyromaniac kangaroo vanishes","southern ocean lodge echidna survives kangaroo island bushfire , but albino kangaroo vanishes",funlines
3668,"study : tinder , grindr and other apps share sensitive personal nudes with advertisers","study : tinder , grindr and other apps share sensitive personal data with advertisers",funlines
3669,researchers split water into wine and oxygen using solar energy,researchers split water into hydrogen and oxygen using solar energy,funlines
3670,hong kong airline makes woman take grammar test before flying to saipan,hong kong airline makes woman take pregnancy test before flying to saipan,funlines
3671,"oscars , infidelity and ego : what kevin hart ’s netflix series reveals about the celebrity love machine","oscars , infidelity and ego : what kevin hart ’s netflix series reveals about the celebrity crisis machine",funlines
3672,putin proposes vote on constitutional shake-up that could extend his hairline,putin proposes vote on constitutional shake-up that could extend his rule,funlines
3673,"aoc slams facial creams : "" this is some real life black mirror stuff ""","aoc slams facial recognition : "" this is some real life black mirror stuff """,funlines
3674,mitch mcconnell should shave himself,mitch mcconnell should recuse himself,funlines
3675,harris calls for parnas to breakdance at senate trial,harris calls for parnas to testify at senate trial,funlines
3676,susan collins ’s willful breakdance already looks awful,susan collins ’s willful blindness already looks awful,funlines
3677,lev parnas : devin nunes was ' involved in getting all this mayonnaise on biden ',lev parnas : devin nunes was ' involved in getting all this stuff on biden ',funlines
3678,lev parnas says attorney general william barr was ' basically on the drugs ',lev parnas says attorney general william barr was ' basically on the team ',funlines
3679,democrats can get high with 50 votes — if roberts does his job,democrats can get witnesses with 50 votes — if roberts does his job,funlines
3680,giuliani associate parnas threatens to release photo every time trump denies loving him,giuliani associate parnas threatens to release photo every time trump denies knowing him,funlines
3681,"editorial : no , you ca n’t have a serious trump impeachment trial without popcorn","editorial : no , you ca n’t have a serious trump impeachment trial without witnesses",funlines
3682,"as parnas freaks out , nunes now remembers talking to him on the phone","as parnas speaks out , nunes now remembers talking to him on the phone",funlines
3683,germany agrees plan to phase out girl power by 2038,germany agrees plan to phase out coal power by 2038,funlines
3684,black caucus in nevada 's largest brothel endorses sanders,black caucus in nevada 's largest county endorses sanders,funlines
3685,"fbi visits congressional candidate jekyl hyde 's home , business","fbi visits congressional candidate robert hyde 's home , business",funlines
3686,"under mounting pressure , trump administration finally releases kool aid to puerto rico","under mounting pressure , trump administration finally releases disaster aid to puerto rico",funlines
3687,trump tax cut hands $ 32 billion windfall to america ’s top hookers,trump tax cut hands $ 32 billion windfall to america ’s top banks,funlines
3688,"months after blowing deadline , trump administration lifts hold on puerto rico mama","months after blowing deadline , trump administration lifts hold on puerto rico aid",funlines
3689, unquestionably alarming signs ' : new data confirms earth just had hottest mixtape on record, unquestionably alarming signs ' : new data confirms earth just had hottest decade on record,funlines
3690,connecticut gop chair calls for robert hyde to drop out of drag race,connecticut gop chair calls for robert hyde to drop out of house race,funlines
3691,connecticut gop chair calls for robert hyde to drop out of house hunters,connecticut gop chair calls for robert hyde to drop out of house race,funlines
3692,trump violated law by withholding kool aid : government watchdog,trump violated law by withholding ukraine aid : government watchdog,funlines
3693,progressive groups urge sanders-warren unity to defeat corporate democrats in primary — and then breakdance,progressive groups urge sanders-warren unity to defeat corporate democrats in primary — and then donald trump,funlines
3694,gop group launches ad campaign urging senators to call saul at impeachment trial,gop group launches ad campaign urging senators to call witnesses at impeachment trial,funlines
3695,"white house ' broke wind ' by withholding ukraine aid , says watchdog","white house ' broke law ' by withholding ukraine aid , says watchdog",funlines
3696,“ flood the zone with shit ” : how misinformation overwhelmed our toilets,“ flood the zone with shit ” : how misinformation overwhelmed our democracy,funlines
3697,“ flood the zone with shit ” : how sewage overwhelmed our democracy,“ flood the zone with shit ” : how misinformation overwhelmed our democracy,funlines
3698,it 's 2020 and florida 's supreme court just ruled in favor of a gator tax,it 's 2020 and florida 's supreme court just ruled in favor of a poll tax,funlines
3699,the hairstylist trump keeps tells you everything you need to know,the company trump keeps tells you everything you need to know,funlines
3700,intelligence agencies are afraid of touching trump ’s “ gut ”,intelligence agencies are afraid of contradicting trump ’s “ gut ”,funlines
3701,trump denies speaking to parnas after new wig turned over,trump denies speaking to parnas after new materials turned over,funlines
3702,chief justice roberts swears in french for the impeachment trial of president trump,chief justice roberts swears in senators for the impeachment trial of president trump,funlines
3703,"days before virginia gun rally , fbi arrests 3 alleged white bunnies","days before virginia gun rally , fbi arrests 3 alleged white supremacists",funlines
3704,poll shows collins displaces mcconnell as most unpopular lover,poll shows collins displaces mcconnell as most unpopular senator,funlines
3705,"trump ’s hold of kool aid was illegal , according to the us government ’s top watchdog","trump ’s hold of ukraine aid was illegal , according to the us government ’s top watchdog",funlines
3706,parnas ' attorney posted this video after trump said he did n't kiss him,parnas ' attorney posted this video after trump said he did n't know him,funlines
